loader,question_id,keyword_coverage,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10
pymupdf4llm,gd_025,0.6,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_026,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_027,1.0,0.0,0.0,1.0,1.0,0.2,0.38685280723454163
pymupdf4llm,gd_028,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pymupdf4llm,gd_029,0.75,1.0,1.0,1.0,1.0,1.0,0.8772153153380493
pymupdf4llm,gd_030,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_001,0.5,0.0,0.0,0.0,0.0,0.0,0.0
pdfplumber,gd_002,1.0,1.0,1.0,1.0,1.0,1.0,0.9674679834891693
pdfplumber,gd_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdfplumber,gd_005,0.75,1.0,1.0,1.0,1.0,1.0,0.9176551163528843
pdfplumber,gd_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_007,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_008,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5706417189553201
pdfplumber,gd_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_010,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_011,0.5,0.0,1.0,1.0,1.0,0.5,0.6829656479960798
pdfplumber,gd_012,0.75,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
pdfplumber,gd_013,0.2,1.0,1.0,1.0,1.0,1.0,0.8065735963827293
pdfplumber,gd_014,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_015,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5
pdfplumber,gd_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_018,0.75,0.0,1.0,1.0,1.0,0.5,0.6934264036172708
pdfplumber,gd_019,0.75,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_020,1.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.39780880120575696
pdfplumber,gd_021,0.5,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
pdfplumber,gd_022,0.25,1.0,1.0,1.0,1.0,1.0,1.0
pdfplumber,gd_023,0.75,0.0,0.0,0.0,0.0,0.0,0.0
pdfplumber,gd_024,1.0,1.0,1.0,1.0,1.0,1.0,0.9005471983095722
pdfplumber,gd_025,0.4,0.0,1.0,1.0,1.0,0.3333333333333333,0.55744812840856
pdfplumber,gd_026,0.75,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
pdfplumber,gd_027,0.5,0.0,0.0,0.0,0.0,0.0,0.0
pdfplumber,gd_028,1.0,1.0,1.0,1.0,1.0,1.0,0.9607686373130875
pdfplumber,gd_029,0.75,0.0,0.0,1.0,1.0,0.2,0.41443699955334395
pdfplumber,gd_030,1.0,1.0,1.0,1.0,1.0,1.0,0.9066276098484507
unstructured,gd_001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
unstructured,gd_002,1.0,1.0,1.0,1.0,1.0,1.0,0.9134015924715543
unstructured,gd_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_004,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.3010299956639812
unstructured,gd_005,0.75,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_007,0.6666666666666666,0.0,0.0,1.0,1.0,0.25,0.48247555939075504
unstructured,gd_008,0.2,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_009,0.5,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
unstructured,gd_010,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_011,0.5,1.0,1.0,1.0,1.0,1.0,0.9083053473410256
unstructured,gd_012,0.75,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
unstructured,gd_013,0.2,1.0,1.0,1.0,1.0,1.0,0.8175295903539445
unstructured,gd_014,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_015,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5
unstructured,gd_016,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_018,0.25,1.0,1.0,1.0,1.0,1.0,0.8503449055347546
unstructured,gd_019,0.75,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_020,1.0,1.0,1.0,1.0,1.0,1.0,0.9674679834891693
unstructured,gd_021,0.5,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_022,0.75,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_023,0.75,0.0,0.0,0.0,0.0,0.0,0.0
unstructured,gd_024,1.0,1.0,1.0,1.0,1.0,1.0,0.8772153153380493
unstructured,gd_025,0.4,0.0,1.0,1.0,1.0,0.3333333333333333,0.5833416105149332
unstructured,gd_026,0.75,1.0,1.0,1.0,1.0,1.0,1.0
unstructured,gd_027,1.0,0.0,0.0,1.0,1.0,0.2,0.38685280723454163
unstructured,gd_028,1.0,1.0,1.0,1.0,1.0,1.0,0.9833032486989473
unstructured,gd_029,0.75,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
unstructured,gd_030,1.0,1.0,1.0,1.0,1.0,1.0,1.0
